,CONTENT,DATETIME,DOCID,TYPE
0,국립공원 깃대종 화보 촬영 준비중이야,20100508234855,1,TWEET
1,http://bit.ly/aHNGbm [주왕산국립공원] 주왕산에서 만난 깃대종과 희귀식물들 #여행떠나자_,20100623173755,2,TWEET
2,"이번 한번은 사줘야 겠네요.. http://bit.ly/9U2XcJ 라푸마, 국립공원의 깃대종 생물을 보호하는 캠페인의 하나로 '깃대종 티셔츠'를 판매. 깃대종 생물은 지역의 생태적, 지리적 특성을 반영하는 상징적인 야생 동ㆍ식물로....",20100624180028,3,TWEET
3,속리산깃대종하늘다람쥐캐릭터 http://twitpic.com/34ay1r,20101106134919,4,TWEET
4,깃대종 들어보셨나요? 한 지역의 생태계를 대표하는 동 식물을 말하는데요~! 대표 국립공원의 사랑스러운 희귀 동물 식물은 누가 있는지 눈여겨 봐주세요^-^ http://v.daum.net/link/13493573,20110128091452,5,TWEET
5,변산반도국립공원 깃대종 변산바람꽃 서식지를 일정기간 개방합니다. 변산반도를 방문하실때 꼭 변산바람꽃을 만나보세요~ http://bit.ly/hr0PMZ #국립공원_ #변산반도_,20110222132101,6,TWEET
6,@leontrozki ㅎㅎ 지리산 깃대종이래요~,20110328155740,7,REPLY
7,"깃대종을 부탁해, 튼튼한 자연생태계를 위해 보호해야 할 희귀 동식물 http://berghausway.tistory.com/359",20110329154917,8,TWEET
8,생물학분류중에 깃대종분류법이란게 있다. 쉬리 짠! 여긴 깨끗하다!가 바로 그예. 넬슨 만델라는 한 사회가 아이를 다루는 방식만큼 그 사회의 영혼을 잘 드러내는 것은 없다고 말했다. 아이. 청소년. 청년은 이 사회의 깃대종. 어텐션 플리즈. 해결해주쇼,20110401152809,9,TWEET
9,@vesperMJ '국립공원 깃대종 보호 캠페인'....(Lafuma) 민준 씨에 잘 어울립니다(*^o^*),20110413054742,10,REPLY
10,4월 16일부터 설악산페이스북오픈 기념 이벤트가 진행됩니다. 추첨을 통해 설악산생태관광 당일형 이용권과 설악산깃대종 티셔츠를 드리니 많은 홍보와 참여 부탁드립니다. http://fb.me/YzLDE1zP,20110414095921,11,TWEET
11,'깃대종'보호캠페인에 스타들이 나섰다 http://j.mp/hOYlMU,20110420153051,12,TWEET
12,라푸마와스타들이함께한 깃대종보호캠페인화보♥조하랑 http://bit.ly/hrpjj1,20110420191929,13,TWEET
13,[★포토]라푸마와 스타들이 함께한 '깃대종'보호캠페인 화보④이청아 ◎http://stylem.mt.co.kr/styview.php?no=2011042015180223019&type=1,20110425103623,14,TWEET
14,깃대종 접근법,20110428091208,15,TWEET
15,"[Lafuma] 프랑스 정통 아웃도어 라푸마, 깃대종 보호 캠페인 화보 촬영 (김재욱, 김민준, 현우, 이청아, 서효림, 조하랑): ? ? ? ? 1930년 탄생한 프랑스 정통 아웃도어 ‘라푸마’ 라푸... http://bit.ly/megRdd",20110503233649,16,TWEET
