국립공원별,구분1,구분2,표본수,인지,비인지,계(%)
가야산,성별,남성,489,321,168,100
가야산,성별,여성,511,335,176,100
가야산,연령별,20대,179,122,57,100
가야산,연령별,30대,212,132,80,100
가야산,연령별,40대,223,153,70,100
가야산,연령별,50대,179,113,66,100
가야산,연령별,60대 이상,207,136,71,100
가야산,지역별,서울,209,176,33,100
가야산,지역별,부산,74,41,33,100
가야산,지역별,대구,52,32,20,100
가야산,지역별,인천,58,25,33,100
가야산,지역별,광주,27,14,13,100
가야산,지역별,대전,31,16,15,100
가야산,지역별,울산,21,13,8,100
가야산,지역별,강원,30,11,19,100
가야산,지역별,경기,227,168,59,100
가야산,지역별,제주,11,7,4,100
가야산,지역별,충북,30,10,20,100
가야산,지역별,충남,40,24,16,100
가야산,지역별,전북,35,19,16,100
가야산,지역별,전남,35,20,15,100
가야산,지역별,경북,55,40,15,100
가야산,지역별,경남,65,40,25,100
가야산,직업별,관리 / 사무직,89,59,30,100
가야산,직업별,자영업 / 개인사업,190,125,65,100
가야산,직업별,전문직,41,27,14,100
가야산,직업별,교사 / 공무원,36,28,8,100
가야산,직업별,서비스직 / 생산 및 판매직,249,153,96,100
가야산,직업별,농업관련직,35,24,11,100
가야산,직업별,주부,167,111,56,100
가야산,직업별,기타,193,129,64,100
가야산,학력별,초등학교 졸업,28,16,12,100
가야산,학력별,중학교 졸업,103,73,30,100
가야산,학력별,고등학교 졸업,410,278,132,100
가야산,학력별,대학교 재학 중,71,48,23,100
가야산,학력별,대학교 졸업,332,210,122,100
가야산,학력별,대학원 이상,56,31,25,100
가야산,소득별,100만원 미만,174,122,52,100
가야산,소득별,100만원 이상 ~ 200만원 미만,281,180,101,100
가야산,소득별,200만원 이상 ~ 300만원 미만,265,159,121,100
가야산,소득별,300만원 이상 ~ 400만원 미만,189,139,35,100
가야산,소득별,400만원 이상,91,56,35,100
경주,성별,남성,489,390,99,100
경주,성별,여성,511,425,86,100
경주,연령별,20대,179,162,17,100
경주,연령별,30대,212,161,51,100
경주,연령별,40대,223,181,42,100
경주,연령별,50대,179,145,34,100
경주,연령별,60대 이상,207,166,41,100
경주,지역별,서울,209,157,52,100
경주,지역별,부산,74,65,9,100
경주,지역별,대구,52,40,12,100
경주,지역별,인천,58,43,15,100
경주,지역별,광주,27,20,7,100
경주,지역별,대전,31,25,6,100
경주,지역별,울산,21,18,3,100
경주,지역별,강원,30,25,5,100
경주,지역별,경기,227,200,27,100
경주,지역별,제주,11,7,4,100
경주,지역별,충북,30,25,5,100
경주,지역별,충남,40,34,6,100
경주,지역별,전북,35,28,7,100
경주,지역별,전남,35,22,13,100
경주,지역별,경북,55,48,7,100
경주,지역별,경남,65,58,7,100
경주,직업별,관리 / 사무직,89,78,11,100
경주,직업별,자영업 / 개인사업,190,160,30,100
경주,직업별,전문직,41,32,9,100
경주,직업별,교사 / 공무원,36,28,8,100
