No.,공원명,유형,제목,이용기간시작일,이용기간종료일,탐방시간,상태
1,다도해해상서부,미래세대,[서부]국립공원 방과후 2,2008-01-01 [화],2014-01-31 [금],1시간,Y
2,주왕산,자연생태,주왕전설과 함께하는 생태여행,2008-01-01 [화],2014-12-31 [수],1시간 30분,Y
3,주왕산,탐방안내,찾아가는 국립공원 교실,2008-01-01 [화],2014-12-31 [수],1시간,N
4,주왕산,자연생태,미래세대를 위한 자연 속 생태체험교실,2008-01-01 [화],2014-12-31 [수],1시간 이상,Y
5,주왕산,탐방안내,주왕산 탐방안내소 해설프로그램,2008-01-01 [화],2014-12-31 [수],30분~1시간,Y
6,다도해해상서부,자연생태,[서부]조도이야기,2008-01-01 [화],2014-01-31 [금],1~2시간,Y
7,다도해해상서부,자연생태,[서부]늘푸른 홍도숲 속으로[삭제],2008-01-01 [화],2014-12-31 [수],1~2시간,Y
8,소백산북부,탐방안내,소백산 사진 전시회 및 탐방안내부스,2008-03-26 [수],2014-12-31 [수],4시간내,Y
9,소백산북부,탐방안내,국립공원 어린이 숲학교,2007-03-01 [목],2014-01-31 [금],4시간내,Y
10,소백산북부,자연생태,천연림과 함께하는 남천계곡,2007-07-01 [일],2014-08-31 [일],60~90분,Y
11,주왕산,자연생태,"주산지, 숨겨진 생명이야기",2008-01-01 [화],2014-12-31 [수],1시간,Y
12,덕유산,기타(신),한 여름밤의 슬라이드 상영,2008-07-01 [화],2010-12-31 [금],1시간~1시간 30분,N
13,치악산,자연생태,꿩돌이가 들려주는 구룡 숲속이야기 A,2008-01-01 [화],2014-12-31 [수],1시간,N
14,치악산,역사문화,꿩돌이와 함께 하는 치악산 정글탐험,2008-01-01 [화],2014-12-31 [수],1시간,Y
15,치악산,자연생태,꿩돌이가 들려주는 금대 숲속이야기,2008-01-01 [화],2014-12-31 [수],1시간,N
16,소백산북부,미래세대,천상의 화원 연화봉,2007-01-01 [월],2011-12-31 [토],60~90분,Y
17,덕유산,자연생태,찾아가는 국립공원 환경교실,2008-01-01 [화],2014-12-31 [수],50분,Y
18,덕유산,역사문화,[2009인증]안국사 역사-문화의 향기를 찾아서,2008-01-01 [화],2014-11-30 [일],1시간,Y
19,한려해상동부,역사문화,2007_인증) 이순신장군의 발자취를 찾아서,2007-01-01 [월],2014-12-31 [수],60분,Y
20,한려해상동부,자연생태,둥글둥글 몽돌이야기,2007-03-01 [목],2014-12-31 [수],60분,N
21,한려해상동부,기타(구),달아공원 경관해설프로그램,2007-01-01 [월],2014-12-31 [수],20분,Y
22,월악산,체험프로그램,월악산문화체험마당,2007-01-01 [월],2014-12-31 [수],1시간,N
23,덕유산,탐방안내,향적봉 거점해설,2008-01-01 [화],2014-12-31 [수],20,Y
24,덕유산,탐방안내,삿갓재대피소 거점해설,2008-01-01 [화],2014-01-31 [금],30분,Y
25,지리산남부,탐방안내,지리산의 모든 것을 한 눈에,2014-01-22 [수],2014-11-30 [일],1시간,Y
26,지리산남부,탐방안내,레인저와 함께 아름다운 경관 이야기,2014-01-22 [수],2014-11-30 [일],20분,Y
27,월악산,미래세대,월악산 꿈나무 체험교실,2006-01-01 [일],2014-12-31 [수],180분,N
28,월악산,자연생태,야생화 향기와 함께 떠나는 만수골,2006-01-01 [일],2014-12-31 [수],120분,Y
29,월악산,역사문화,마의태자의 흔적을 찾아나서는 하늘재,2008-01-01 [화],2014-12-31 [수],120분,Y
30,월악산,역사문화,중원문화유산답사기,2008-01-01 [화],2014-12-31 [수],180분,N
31,지리산남부,탐방안내,2011년 환경부인증) 고맙습니다! 지리산,2014-01-22 [수],2014-11-30 [일],1~2시간,Y
32,지리산남부,역사문화,함께해요 지리산! (청소년수련활동 인증),2014-01-22 [수],2014-11-30 [일],1~2시간,Y
33,지리산남부,자연생태,화엄계곡 숲 속 생명 이야기,2014-01-22 [수],2014-11-30 [일],1시간,Y
34,지리산남부,자연생태,2012_환경부인증)노고 할매와 함께 하늘정원 걷기,2008-01-01 [화],2014-11-30 [일],1시간,Y
35,지리산남부,역사문화,상상의 동물 연과 함께 화엄의 세계로,2014-01-22 [수],2014-11-30 [일],1시간,Y
36,한려해상,자연생태,[자연해설] 자연의 조각품 금산 38경,2007-01-01 [월],2014-12-31 [수],2시간 이내,Y
37,한려해상,기타(구),[자연해설] 한려해상의 아기자기한 섬이야기,2007-01-01 [월],2013-11-30 [토],30분 내외,Y
38,한려해상,자연생태,[환경교육] 남해 금산 건강한 숲 생태계 이야기,2007-01-01 [월],2014-12-31 [수],2시간 내외,Y
39,한려해상,자연생태,[홍보부스] 내가 좋아하는 청정바다 생물,2007-07-01 [일],2014-12-31 [수],일정에 따라 운영,Y
40,한려해상,기타(구),[국립공원 방과후학교] 나는야! 환경 지킴이,2007-03-01 [목],2014-12-31 [수],60분,Y
41,가야산,역사문화,팔만대장경 창조의 비밀,2014-01-01 [수],2014-12-31 [수],60분,Y
42,북한산도봉,자연생태,(도봉)찾아가는 국립공원,2015-01-01 [목],2015-03-31 [화],1시간,Y
43,북한산도봉,자연생태,(도봉)국립공원 방과후학교,2014-01-01 [수],2014-12-31 [수],1시간,N
44,북한산도봉,자연생태,(도봉)나무야 놀자! 벌레야 놀자!,2015-01-01 [목],2015-03-31 [화],1시간 30분,Y
45,북한산도봉,자연생태,(도봉)국립공원 청소년 탐사단(CA),2014-01-01 [수],2014-12-31 [수],1시간 30분,N
46,지리산북부,역사문화,"신라의 천년고찰, 실상사",2007-01-01 [월],2011-04-30 [토],1시간,Y
47,지리산북부,탐방안내,찾아가는 국립공원교실,2007-01-01 [월],2014-01-31 [금],1시간,Y
48,지리산북부,역사문화,마한의 전설이 깃든 달궁체험,2007-01-01 [월],2011-04-30 [토],2시간,Y
49,속리산,탐방안내,문장대 경관해설,2007-01-01 [월],2014-12-31 [수],1시간,Y
50,속리산,탐방안내,쌍곡구곡 경관해설,2007-01-01 [월],2014-08-31 [일],1시간,Y
51,속리산,자연생태,2010_인증)계곡이 살아숨쉬는 아름다운 화양계곡,2007-01-01 [월],2014-08-31 [일],1 시간,Y
52,속리산,자연생태,2009_인증)자연人 속리산!,2007-01-01 [월],2014-08-31 [일],1시간,Y
53,덕유산,자연생태,[2007인증]향적봉 아고산대 야생화를 찾아서,2007-01-01 [월],2014-11-30 [일],1시간 30분,Y
54,설악산,자연생태,백담계곡 맑은 물따라 생태기행,2014-01-01 [수],2014-12-31 [수],1시간,N
55,설악산,자연생태,[해설]오솔길 따라 숲 속 탐험,2008-01-01 [화],2014-12-31 [수],1시간,N
56,설악산,자연생태,[10인증 해설]오색천 굽이굽이 특이한 기암괴석이야기(오색지역),2008-01-01 [화],2014-12-31 [수],1시간,N
57,설악산,자연생태,[탐방안내소 내부가이드] 설악산을 한 눈에 ,2008-01-01 [화],2014-12-31 [수],1시간,N
58,설악산,자연생태,[미래세대]설악산과 함께하는 우리의 미래,2008-01-01 [화],2014-12-31 [수],2시간,N
59,설악산,자연생태,[탐방안내소 내부가이드]탐방안내소 체험 프로그램,2008-01-01 [화],2014-12-31 [수],30분~1시간,N
60,설악산,역사문화,[08인증 해설] 몽골의 침입을 막아낸 권금성,2008-01-01 [화],2014-12-31 [수],1시간,N
61,설악산,자연생태,[해설]마고선이 하늘로 올라간 비선대,2008-01-01 [화],2014-12-31 [수],1시간,N
62,태안해안,자연생태,살아있는 갯벌이야기,2008-01-01 [화],2014-11-30 [일],1시간 내외,Y
63,소백산,기타(신),어울림 한마당,2008-07-15 [화],2014-12-31 [수],2시간,N
64,소백산,역사문화,부석사 역사문화 산책,2008-12-30 [화],2017-12-31 [일],1시간 30분,Y
65,소백산,탐방안내,소백산 찾아가는 국립공원교실,2008-12-30 [화],2016-01-31 [일],1시간30분,Y
66,소백산,역사문화,청운의 뜻을 품고 넘어보는 죽령옛길,2008-12-30 [화],2016-01-31 [일],2시간,Y
67,소백산,자연생태,꿈에서도 보이는 천혜의 골짜기 희방계곡,2008-12-30 [화],2016-01-31 [일],1시간 30분,Y
68,태안해안,자연생태,모래언덕이 늘어났어요,2008-01-01 [화],2014-11-30 [일],1시간 내외,Y
69,태안해안,자연생태,한눈에 보고 느끼는 해안생태계,2008-01-01 [화],2014-11-30 [일],1시간 내외,Y
70,지리산,역사문화,[삼장] 대원사 역사와 문화 (2013 환경부 인증),2008-01-01 [화],2014-12-31 [수],1시간,Y
71,지리산,자연생태,[하동] 자연 속에서 흐르는 불일폭포 이야기,2008-01-01 [화],2014-12-31 [수],1시간,Y
72,지리산,역사문화,[하동] 차와 함께하는 향기로운 쌍계사 문화해설,2008-01-01 [화],2014-12-31 [수],1시간,Y
73,지리산,자연생태,[산청] 오늘은 중산리로 소풍가는 날 (2012 환경부 인증),2008-01-01 [화],2014-12-31 [수],1시간,Y
74,지리산,자연생태,[삼장] 호랑이가 살았다는 맹세이골 이야기,2008-01-01 [화],2014-12-31 [수],1시간,Y
75,지리산,기획,"자연, 사랑나눔 장애인 생태학교",2008-01-01 [화],2014-12-31 [수],1시간,Y
76,북한산,자연생태,찾아가는 국립공원교실,2008-01-01 [화],2014-12-31 [수],1시간,Y
77,북한산,자연생태,북한산 탐방안내소 현장체험,2008-01-01 [화],2014-11-30 [일],1시간,Y
78,북한산,자연생태,자연물을 이용한 만들기 체험,2008-01-01 [화],2014-11-30 [일],1시간,Y
79,북한산,자연생태,소귀를 닮았다고 해서 소귀천,2008-01-01 [화],2014-09-30 [화],1시간,Y
80,북한산,자연생태,구기계곡의 자연해설,2008-01-01 [화],2014-10-31 [금],1시간,Y
81,북한산,자연생태,구천계곡과 함께 하는 자연여행,2007-01-01 [월],2014-10-31 [금],1시간,Y
82,북한산,자연생태,북한산성의 옛 자취를 찾아서,2008-01-01 [화],2014-10-31 [금],1시간,Y
83,계룡산,자연생태,2008_인증) 갑사 오리 숲이 들려주는 이야기,2008-04-01 [화],2014-12-31 [수],60분,Y
84,계룡산,역사문화,토속신앙의 성지 계룡산,2008-01-01 [화],2014-12-31 [수],60분,Y
85,계룡산,자연생태,2009-인증)남매탑의 전설을 간직한 계룡산,2008-04-01 [화],2014-12-31 [수],60분,Y
86,덕유산,자연생태,남덕유산 숲속이야기,2008-03-01 [토],2014-01-23 [목],1시간 30분,N
87,소백산,기타(구),고지대거점해설,2008-01-01 [화],2016-12-31 [토],30분,Y
88,가야산,역사문화,참된 나를 찾아서,2014-01-01 [수],2014-12-31 [수],1시간,N
89,오대산,자연생태,2007_인증)전나무숲 자연해설,2014-02-25 [화],2014-11-30 [일],1시간,Y
90,오대산,역사문화,2008_인증)천년 고찰의 신비 월정사,2008-01-01 [화],2014-11-30 [일],1시간,Y
91,오대산,역사문화,"2009_인증)세조임금 인연 간직한 ""상원사""",2008-01-01 [화],2014-11-30 [일],40분,Y
92,오대산,자연생태,2010_인증)소금강 자연·생태해설,2014-01-01 [수],2014-11-30 [일],1시간~1시간 30분,Y
93,오대산,자연생태,국립공원 방과후 학교,2008-01-01 [화],2014-01-31 [금],1시간~1시간30분,Y
94,소백산북부,기타(구),탐방지원센터 슬라이드 상영,2008-01-01 [화],2012-12-31 [월],20~30분,Y
95,덕유산,탐방안내,구천동 거점해설,2008-01-01 [화],2014-11-30 [일],20분,Y
96,변산반도,자연생태,7천만년 역사 속의 채석강,2014-02-06 [목],2014-11-30 [일],1시간 30분,Y
97,변산반도,자연생태,"바다 갈라지는 곳 ""하섬의 신비를 찾아서..""",2014-01-01 [수],2014-12-31 [수],1시간 30분 ~ 2시간,N
98,변산반도,자연생태,"""갯벌에 뭐가 사나 볼래요?""",2014-07-01 [화],2014-11-30 [일],1시간 30분,N
99,변산반도,자연생태,내변산의 봉래구곡을 따라가는 Eco-Trekking,2014-02-06 [목],2014-11-30 [일],2시간,Y
100,변산반도,역사문화,천년고찰 내소사로의 여행,2014-02-06 [목],2014-11-30 [일],1시간 30분,Y
101,지리산남부,탐방안내,노고단 경관 이야기,2014-01-22 [수],2014-11-30 [일],20분,Y
102,북한산도봉,탐방안내,(도봉)고지대 경관해설(도봉),2014-01-01 [수],2014-12-31 [수],10~15분,N
103,북한산도봉,자연생태,(도봉)뚝딱뚝딱 공예교실,2014-01-01 [수],2014-12-31 [수],1시간,N
